CustomerID,FirstName,LastName,Email,Phone,CompanyName,LeadStatus,SalesRep,LastContactDate,Account Number,Sales Region / Territory,Channel
CUST00119,,Yamamoto,,7451281842,Ferguson-Martin ™,Contacted,Martin Mckay,04-Oct-21,ACCT000119,,Partner
CUST00120,,Yamamoto,,,,Contacted,Vanessa Cunningham,,,APAC-North,
CUST00121,,,yuki_tanaka@yahoo.com,no phone,,Qualified,Sheila Howe,,,Global-Strategic,
CUST00122,,,,,,Qualified,,15-07-2024,ACCT000122,MEA-Gulf,
CUST00123,,Yamamoto,,,,,,,ACCT000123,US-Midwest,Direct
CUST00124,,Zhang,wei_zhang@yahoo.com,,###INVALID###,New,###INVALID###,,ACCT000124,###INVALID###,Online
CUST00125,,,,N-A,###INVALID###,Converted,Karen Jones,###INVALID###,ACCT000125,EMEA-South,Direct
CUST00126,,Dubois,,N-A,Shah Inc ™,empty,,07-07-2020,,MEA-Gulf,
CUST00127,,,chun.li@hotmail.com,,N-A,,,"October 26, 2020",ACCT000127,EMEA-North,Partner
CUST00128,###INVALID###,,john.doe@example.com,N-A,###INVALID###,Converted,,30-Sep-21,ACCT000128,US-Midwest,Direct
CUST00129,,Tanaka,yuki_tanaka@yahoo.com,,N-A,New,Shelly Durham,"February 27, 2022",,Canada-West,###INVALID###
CUST00130,,,NULL,-,,,Zachary Hamilton,02-03-2023,ACCT000130,,
CUST00131,,Yamamoto,,###INVALID###,Rowland-Mack 有限会社,Contacted,,21-Mar-23,,Global-Strategic,Direct
CUST00132,,,,,Flores LLC Corp.,,,,ACCT000132,LATAM-Andean,Partner
CUST00133,,,lars.hansen@gmail.com,,,New,,,ACCT000133,US-West,Other
CUST00134,,,,N-A,White Group 株式会社,Qualified,Zachary Hamilton,2023 December 24,ACCT000134,Canada-West,Other
CUST00135,,,NULL,,"Norton, Richards and Johnson ™",,,14-Oct-22,,,Direct
CUST00136,,,,,Pope PLC 有限会社,Qualified,Sheila Howe,"October 30, 2020",ACCT000136,,###INVALID###
CUST00137,,,,-,"Fields, Lynch and Martinez 株式会社",Converted,N-A,11-Dec-21,ACCT000137,LATAM-Brazil,Direct
CUST00138,,Dubois,marie-jo.dubois@example.com,761.733.4969x54026,,New,,2021 October 03,ACCT000138,,Direct
CUST00139,,,,N-A,Stanley-Wilkins ™,,Sydney Carter,,NULL,US-West,
CUST00140,,Yamamoto,,###INVALID###,,,N-A,05-03-2023,ACCT000140,,Partner
CUST00141,,Dubois,,,Hoffman-Osborne 有限会社,Converted,,18-Jun-20,ACCT000141,US-West,Online
CUST00142,,###INVALID###,y.tanaka@gmail.com,001-952-2805,Garcia-Gonzalez 技术有限公司,,,04-Aug-20,ACCT000142,,Direct
CUST00143,,Doe,john.doe@gmail.com,-,,,,2025 April 08,ACCT000143,Canada-East,Partner
CUST00144,###INVALID###,,,,,,William Edwards,28-Dec-20,,APAC-North,
CUST00145,,Smith,james@,,Johnson and Sons ™,Contacted,Sydney Carter,09-08-2020,ACCT000145,EMEA-North,Partner
CUST00146,,Yamamoto,satoshi.yamamoto@gmail.com,,,Contacted,Vanessa Cunningham,"March 10, 2021",ACCT000146,Global-Strategic,Direct
CUST00147,,Doe,,N-A,Murray-Stone ™,,,,ACCT000147,,Partner
CUST00148,,###INVALID###,,N-A,Finley-Duncan 有限会社,empty,Dr. Joseph Nguyen,05-06-2020,ACCT000148,,
CUST00149,N-A,,,,Smith-Green ™,Lost,Vanessa Cunningham,2021 July 31,###INVALID###,###INVALID###,Direct
CUST00150,,Tanaka,,,Moran and Sons ™,Lost,Sandy Elliott,,ACCT000150,MEA-Gulf,Partner
CUST00151,,Tanaka,yuki_tanaka@yahoo.com,,Gomez Inc & Co.,Qualified,Stephanie Rogers,25-11-2022,,Canada-West,Direct
CUST00152,,,ana#lopez.com,001-630-012-6822x2214,###INVALID###,Lost,,"September 23, 2023",,APAC-Southeast,Other
CUST00153,,Hansen,lars@,,Thomas Ltd & Co.,,Dr. Joseph Nguyen,06-Jun-20,ACCT000153,US-West,
CUST00154,,Zhang,wei.zhang@gmail.com,N-A,Rosales Inc ™,New,Stephanie Rogers,,ACCT000154,LATAM-Brazil,Other
CUST00155,###INVALID###,,satoshi@,(625)245-7226x233,Henson and Sons ™,Converted,Patricia Roberts,"April 09, 2022",NULL,,###INVALID###
CUST00156,,,,,Sanchez Group & Co.,,,16-Nov-21,ACCT000156,APAC-Southeast,Direct
CUST00157,,,###INVALID###,-,,empty,Phillip Webb,"December 29, 2024",ACCT000157,Canada-West,
CUST00158,,Doe,john#doe.com,N-A,,New,,,ACCT000158,APAC-Southeast,
CUST00159,,Hansen,,,Johnson and Sons 技术有限公司,,Emily Sherman,20-10-2020,ACCT000159,APAC-Southeast,Direct
CUST00160,,N-A,ana.lopez@gmail.com,no phone,Ramirez-Griffith 技术有限公司,,Zachary Hamilton,21-Dec-22,ACCT000160,US-East,Direct
CUST00161,,Yamamoto,,,Watson PLC 有限会社,empty,Sheila Howe,22-05-2020,,US-West,Direct
CUST00162,N-A,Yamamoto,,,###INVALID###,Converted,Stephanie Rogers,27-04-2024,ACCT000162,,Partner
CUST00163,,Tanaka,###INVALID###,,,Qualified,,01-05-2023,ACCT000163,,Direct
CUST00164,,,NULL,,Davis Group & Co.,Qualified,Shelly Durham,06-01-2021,,US-East,Partner
CUST00165,,Yamamoto,satoshi#yamamoto.com,no phone,Lyons-Holland Corp.,,Sydney Carter,09-05-2025,ACCT000165,,Direct
CUST00166,,Doe,,,,Qualified,Sharon Young,02-Feb-22,,APAC-North,
CUST00167,,,,001-053-343-5755x990,"Jones, Schwartz and Brown 株式会社",,,,ACCT000167,APAC-Southeast,Direct
CUST00168,,,john@,-,"Daugherty, Mckay and Smith 有限会社",,John Smith,"August 10, 2023",ACCT000168,US-East,Online
CUST00169,,Nilsson,NULL,,,Contacted,,2020 June 21,###INVALID###,Canada-East,Direct
CUST00170,,Smith,james#smith.com,,,,,07-Mar-23,ACCT000170,APAC-Southeast,Online
CUST00171,,,wei@,N-A,Brooks PLC ™,,###INVALID###,,ACCT000171,Canada-East,
CUST00172,,,ana_lopez@yahoo.com,,,,Jennifer Richardson,NULL,ACCT000172,US-East,###INVALID###
CUST00173,,,,###INVALID###,Snow Group & Co.,,Sharon Young,"October 13, 2022",ACCT000173,EMEA-North,
CUST00174,,Yamamoto,satoshi@,no phone,"Norris, Drake and Sims 有限会社",Converted,Alexis Hayes,06-05-2022,,APAC-Southeast,Direct
CUST00175,,,,N-A,"Peters, Maxwell and Flores 有限会社",Qualified,Alexis Hayes,19-05-2024,,,
CUST00176,,,ana.lopez@example.com,812-431-3585,,Converted,Martin Mckay,31-03-2023,ACCT000176,,Direct
CUST00177,,,###INVALID###,N-A,Stewart-Cruz 株式会社,,,,,MEA-Gulf,Partner
CUST00178,,,,###INVALID###,Paul and Sons 株式会社,Qualified,,03-May-22,ACCT000178,LATAM-Andean,Online
CUST00179,,Lopez,ana.lopez@hotmail.com,5615446948,Smith-Gibson 株式会社,empty,,08-Mar-21,,LATAM-Brazil,###INVALID###
CUST00180,,,a.lopez@gmail.com,,,,Sheila Howe,14-02-2022,ACCT000180,LATAM-Andean,Partner
CUST00181,,Smith,###INVALID###,,,,Dr. Joseph Nguyen,08-Aug-24,ACCT000181,Canada-East,
CUST00182,,,,,,Contacted,Sandy Elliott,###INVALID###,ACCT000182,Global-Strategic,Online
CUST00183,,Nilsson,NULL,,Johnson Ltd 株式会社,Lost,Karen Jones,,,Global-Strategic,Direct
CUST00184,,Zhang,,,,Qualified,N-A,,ACCT000184,LATAM-Andean,Direct
CUST00185,,,emma_nilsson@yahoo.com,,,,,24-09-2022,ACCT000185,US-Midwest,Online
CUST00186,,Doe,,no phone,Jackson-Richardson & Co.,,Sydney Carter,,,EMEA-South,Other
CUST00187,,,,,Bird-Lynch ™,,William Edwards,22-Nov-20,ACCT000187,LATAM-Brazil,Direct
CUST00188,,,lars@,,Herring-David 株式会社,Converted,,,###INVALID###,MEA-Gulf,Online
CUST00189,,Zhang,,,,Converted,Emily Sherman,2024 November 24,,LATAM-Brazil,Partner
CUST00190,N-A,Tanaka,yuki@,,,,Vanessa Cunningham,27-Jul-22,ACCT000190,,
CUST00191,,Hansen,lars@,,,Contacted,Bobby Williams DDS,27-12-2020,ACCT000191,Canada-West,Partner
CUST00192,,Doe,john.doe@gmail.com,,Marshall-Allen 技术有限公司,Qualified,Jennifer Richardson,23-02-2023,ACCT000192,,Online
CUST00193,,Dubois,,,Hendrix-Pitts 有限会社,Lost,,23-05-2024,,Canada-East,Partner
CUST00194,,Dubois,,,,,Sharon Young,,ACCT000194,,Partner
CUST00195,,,,9896588122,Sharp Inc 有限会社,Lost,Karen Jones,,ACCT000195,MEA-Gulf,Online
CUST00196,,,a.lopez@gmail.com,no phone,N-A,,William Edwards,11-Aug-22,,###INVALID###,Partner
CUST00197,,,,,Saunders-Taylor 技术有限公司,,,2025 March 18,ACCT000197,US-West,Partner
CUST00198,,Yamamoto,NULL,,"Cook, Williams and Wilson Corp.",New,Sydney Carter,02-Jun-20,,,Direct
CUST00199,,Yamamoto,satoshi.yamamoto@gmail.com,,"Fernandez, May and Chandler Corp.",New,,2024 July 06,ACCT000199,,Direct
CUST00200,,,satoshi_yamamoto@yahoo.com,,Watts PLC & Co.,Lost,John Smith,26-Dec-23,ACCT000200,Canada-West,
CUST00201,,,lars#hansen.com,-,Barnes PLC 技术有限公司,New,Bobby Williams DDS,,ACCT000201,,
CUST00202,,###INVALID###,chun.li@example.com,-,Scott LLC 株式会社,Qualified,Alexis Hayes,16-07-2020,ACCT000202,,###INVALID###
CUST00203,,,,,"Anderson, Finley and Thomas 株式会社",###INVALID###,Sharon Young,12-Oct-24,ACCT000203,Canada-East,Direct
CUST00204,,,,,Smith-Owens 株式会社,,,13-02-2025,,,Online
CUST00205,,,ana#lopez.com,,,,William Edwards,09-Mar-23,,N-A,###INVALID###
CUST00206,,Lopez,ana.lopez@gmail.com,,"Robinson, Cline and Cruz ™",,Sandy Elliott,10-May-23,,,Partner
CUST00207,N-A,,,,Jackson and Sons 技术有限公司,Converted,###INVALID###,30-01-2022,ACCT000207,US-Midwest,
CUST00208,,Dubois,NULL,381-650-9256x89111,Carter LLC 技术有限公司,Contacted,,"June 10, 2021",ACCT000208,Canada-West,Other
CUST00209,,Li,,,Schneider LLC & Co.,Converted,Phillip Webb,30-04-2021,ACCT000209,Canada-West,
CUST00210,,Yamamoto,satoshi.yamamoto@gmail.com,,,Contacted,,"January 10, 2023",,N-A,Direct
CUST00211,,Li,,,Reid Inc 有限会社,,,20-02-2022,ACCT000211,APAC-Southeast,
CUST00212,N-A,Yamamoto,,,Taylor Ltd 有限会社,,Sydney Carter,01-08-2024,ACCT000212,,Other
CUST00213,,,NULL,,"Curtis, Walsh and Garcia & Co.",,,10-02-2023,ACCT000213,EMEA-South,Direct
CUST00214,,Tanaka,,,"Gonzalez, Robinson and Smith Corp.",Converted,N-A,###INVALID###,ACCT000214,N-A,Partner
CUST00215,,Lopez,ana#lopez.com,,,,Zachary Hamilton,23-01-2021,ACCT000215,Global-Strategic,
CUST00216,,,,,Dunlap Inc 有限会社,empty,,"August 31, 2021",,###INVALID###,Online
CUST00217,,,james_smith@yahoo.com,,Herman-Wilkinson 株式会社,Qualified,John Smith,01-04-2024,ACCT000217,,
CUST00218,,Hansen,,N-A,"Davis, Keith and Coffey Corp.",,Vanessa Cunningham,14-Aug-22,ACCT000218,APAC-North,
CUST00219,,Hansen,lars.hansen@gmail.com,,"Taylor, Harper and Anderson 技术有限公司",Qualified,William Edwards,18-Jun-24,ACCT000219,N-A,Direct
CUST00220,,,,-,"Moody, Patel and Newton ™",,John Smith,21-01-2024,ACCT000220,,
CUST00221,,###INVALID###,,,Harris-Jimenez 株式会社,New,,24-04-2021,ACCT000221,,Direct
CUST00222,,Tanaka,,###INVALID###,"Watson, Hansen and Davis & Co.",Qualified,,"May 20, 2024",ACCT000222,APAC-North,
CUST00223,,Yamamoto,satoshi#yamamoto.com,,"Gray, Whitaker and Ortiz 有限会社",Qualified,Sheila Howe,20-Jul-24,,US-East,Partner
CUST00224,,Li,,N-A,N-A,New,Alexis Hayes,25-Nov-22,,LATAM-Brazil,
CUST00225,,,,,,,Emily Sherman,###INVALID###,ACCT000225,EMEA-North,NULL
CUST00226,,,,,,empty,,27-06-2024,ACCT000226,,Partner
CUST00227,,,chun.li@example.com,no phone,"Clark, Walker and Mullins & Co.",New,N-A,30-12-2021,ACCT000227,,Direct
CUST00228,,Zhang,wei_zhang@yahoo.com,,,Lost,John Smith,04-10-2023,ACCT000228,Canada-East,Partner
CUST00229,,,,,"Williams, Chung and Reeves & Co.",,John Smith,16-Sep-22,ACCT000229,###INVALID###,Other
CUST00230,,,,N-A,"Price, Lee and Grant 株式会社",New,,,ACCT000230,N-A,
CUST00231,,,NULL,+1-289-070-1549x3847,,,Karen Jones,"November 01, 2022",ACCT000231,,Direct
CUST00232,,Doe,j.doe@gmail.com,,"Warren, Kelly and Moore ™",Qualified,,21-06-2021,,MEA-Gulf,
CUST00233,,Yamamoto,,,Carter-Fletcher ™,,Patricia Roberts,18-04-2025,ACCT000233,US-Midwest,Direct
CUST00234,,Zhang,,-,Davis-Ford & Co.,Qualified,Dr. Joseph Nguyen,30-03-2022,,APAC-Southeast,
