CustomerID,Product,Quantity,PurchaseDate,UnitPrice,Account Number,Billing Address,Shipping Address,Country / Region,Postal Code / ZIP,State / Province,City,Payment Terms,Credit Limit,Tax ID / VAT Number,Currency,Bank Account Details,Preferred Payment Method
CUST00024,Monitor,5.0,2021 February 11,,ACCT000024,2118 White Falls,,Iran,87402.0,CO,Michaelmouth,,75866.0,,,WFUX26207890581159,
CUST00025,Laptop,6.0,,N-A,ACCT000025,099 Garza View Suite 343,4329 Kline Burgs,Mali,,ND,South Kristy,,11626.0,ER7054663,,IEDM41612522214088,N-A
CUST00026,,3.0,2022/10/06,738.93,ACCT000026,###INVALID###,50153 Chavez Village,Cook Islands,,,,Due on Receipt,28776.0,,,XPGX66515200416306,
CUST00027,Printer,,,628.4,ACCT000027,43279 Megan Squares Apt. 944,58390 Olsen Walk Suite 575,,78025.0,UT,Port Robinbury,,32895.0,,USD,EFBV31304496580387,Bank Transfer
CUST00028,Monitor,2.0,25-01-2023,1166.56,ACCT000028,6484 Sanford Court Suite 939,65273 Margaret Isle,,77665.0,CO,,,13914.0,pK9165814,,YUTZ44561402665587,Bank Transfer
CUST00029,Laptop,3.0,29 March 2021,499.71,empty,5601 Marissa Dale Apt. 228,57271 Valdez Rue Apt. 183,,67639.0,,,N-A,36506.0,HV8368179,INR,,
CUST00030,,7.0,2024 April 12,411.62,,###INVALID###,,,,empty,Mooreberg,Due on Receipt,89199.0,,INR,,Credit Card
CUST00031,Tablet,,2021 May 08,544.29,ACCT000031,7111 Garcia Hollow,###INVALID###,,89005.0,CO,,Net 30,86404.0,,USD,NRLR47460201535277,Bank Transfer
CUST00032,Mouse,,2024 March 08,1098.68,,N-A,207 Price Circle,American Samoa,72570.0,GA,,Due on Receipt,90299.0,ev0755255,INR,,Bank Transfer
CUST00033,Keyboard,1.0,26 October 2024,,ACCT000033,5624 Cohen Views,3828 Caroline Walk Apt. 815,,29990.0,empty,,,66825.0,pf1118140,,,PayPal
CUST00034,N-A,4.0,N-A,1085.97,ACCT000034,N-A,,Estonia,,AR,,Due on Receipt,69906.0,PV6619765,INR,ZXCY35483854490604,
CUST00035,Mouse,7.0,,843.05,ACCT000035,255 Charles Glen,927 Eric Extension,Sweden,97903.0,,,Net 60,47978.0,,EUR,BAZP05001679226318,N-A
CUST00036,Printer,2.0,18 March 2022,719.33,ACCT000036,,74697 Stephens Shores,,53154.0,GA,Jenniferfurt,Net 60,15654.0,,USD,,Credit Card
CUST00037,,1.0,,,ACCT000037,2527 Cox Green Apt. 791,2870 Mason Lock,Ghana,44075.0,MA,,,,empty,,IYKF21176749630691,
CUST00038,Tablet,2.0,11-03-2021,358.25,empty,8513 Vega Forest Apt. 357,,Montserrat,,,,Net 30,,fS9771300,USD,KUHG55419960134009,Credit Card
CUST00039,Tablet,,16-12-2024,,ACCT000039,82397 Campbell Springs Suite 054,2263 Raymond Trafficway Apt. 539,,30738.0,,Thomasbury,,49833.0,ws0191909,INR,WPAY16710263359755,
CUST00040,,empty,17-06-2023,1288.62,ACCT000040,N-A,1131 Samantha Street,Turkmenistan,,NM,Jasonfort,Due on Receipt,46965.0,Ei0897200,,CTID65609104186685,
CUST00041,Mouse,2.0,2023 July 19,1013.34,ACCT000041,197 Christy Path,092 Carlson Way,Mozambique,82502.0,WA,,Net 60,,,,,Credit Card
CUST00042,Tablet,1.0,"October 09, 2023",362.1,ACCT000042,12933 Greene Grove Suite 340,097 Cory Pike Apt. 687,###INVALID###,,###INVALID###,,N-A,49614.0,,,XFLM56649444153850,Bank Transfer
CUST00043,,10.0,2023/08/13,1451.23,,9961 Nicholson Row Apt. 949,###INVALID###,Burundi,,IL,South Gary,,42325.0,ql3744462,GBP,ZKIV70940973744254,Bank Transfer
CUST00044,Mouse,3.0,2022-07-23,219.25,ACCT000044,10214 Robinson Rue,,###INVALID###,34786.0,IN,,Net 30,89671.0,,USD,,
CUST00045,Laptop,empty,26-01-2022,1401.06,,26661 Shelton Gateway Apt. 286,9506 Williams Village,,15695.0,CO,Jonesshire,Net 60,85549.0,DR8382553,INR,OZXK93319172520228,Bank Transfer
CUST00046,Phone,,15 July 2020,872.46,ACCT000046,03004 Sarah Curve Suite 602,8020 Devin Junction Suite 910,Pakistan,93485.0,IL,,,,pI3152949,,,
CUST00047,,9.0,,239.29,ACCT000047,9682 Kenneth Stream,,N-A,,,Lake Eric,Net 30,58028.0,gV6334471,GBP,,PayPal
CUST00048,Phone,6.0,"February 07, 2021",206.21,ACCT000048,941 James Parks Apt. 316,,Norfolk Island,44518.0,,Heathershire,,80064.0,,,,Bank Transfer
CUST00049,Phone,empty,21 April 2022,262.92,ACCT000049,3369 Ryan Orchard Suite 560,291 Hull Avenue Apt. 516,Haiti,24086.0,MO,,Net 30,,,,PQLW40358807724367,
CUST00050,,3.0,26-11-2022,,ACCT000050,060 Peter Mill,103 Shannon Drive,Heard Island and McDonald Islands,26128.0,,,Net 60,,,,LFEO05815959596121,###INVALID###
CUST00051,Tablet,1.0,2022/02/14,1312.98,ACCT000051,2759 Farrell Plain,4681 Hubbard Trail,,87604.0,UT,,Net 60,16577.0,Gs7353752,EUR,MWOD92899220355379,Credit Card
CUST00052,Laptop,8.0,30/11/2022,,ACCT000052,,,Russian Federation,###INVALID###,,Jeffreyton,Net 30,72207.0,vY7934765,,ZAMX58139058592789,Credit Card
CUST00053,Mouse,4.0,19 April 2025,,,63125 Julian Loop,,,,IA,,Due on Receipt,61169.0,###INVALID###,INR,,Bank Transfer
CUST00054,Phone,5.0,,1092.03,,7923 Mark Throughway,,Morocco,71650.0,AK,,Due on Receipt,56301.0,XU2819971,EUR,ELIT31993842137829,Bank Transfer
CUST00055,Monitor,8.0,,517.29,,45023 Michael Turnpike,,,58588.0,OR,New Andrew,Net 30,72861.0,Eh6055158,USD,XKZF57069836915292,
CUST00056,,3.0,,,ACCT000056,6673 Emily Views,,Jamaica,,MD,Fergusonbury,Due on Receipt,,,USD,MSGK03217455414096,
CUST00057,Monitor,,,51.47,ACCT000057,51153 Cynthia Burg Suite 065,,###INVALID###,64533.0,MN,North Kathleen,,23391.0,Mk4490478,GBP,LHNG56898030262550,
CUST00058,,,07 August 2021,N-A,ACCT000058,09303 Mejia Port,358 Michele Squares,Montserrat,22022.0,HI,Williechester,Net 30,63827.0,RO3135265,EUR,WGWQ20996437157734,###INVALID###
CUST00059,,,03 August 2020,1334.9,ACCT000059,5746 Estes Wells,8014 Anita Shoals Suite 961,Puerto Rico,62562.0,KS,,Net 60,94308.0,ds0224901,GBP,GNCC59167668820704,Bank Transfer
CUST00060,Monitor,6.0,08 September 2023,1449.24,,,491 Jennifer Mews,Zimbabwe,90155.0,IA,Port Christianfort,N-A,44552.0,zX2867520,,SEWW91927170045677,Bank Transfer
CUST00061,,1.0,2022-06-10,,,,,United Arab Emirates,86042.0,HI,,Net 60,79663.0,,EUR,UQTS58754034828713,Bank Transfer
CUST00062,Mouse,6.0,2021/02/26,1218.7,,,###INVALID###,Nicaragua,88264.0,###INVALID###,South Kristy,Net 30,42430.0,bn4832048,GBP,DHEQ70508503914056,
CUST00063,,4.0,18 November 2023,978.24,###INVALID###,185 Sharon Court,136 Michelle Lock,,67505.0,ND,,Due on Receipt,,,,OZGH68218323303106,
CUST00064,,2.0,21 January 2023,113.5,ACCT000064,538 Munoz Shore Suite 575,,N-A,78173.0,,Floresfurt,Net 30,78511.0,,GBP,NPRE60834852190571,Bank Transfer
CUST00065,Keyboard,9.0,08 January 2022,,ACCT000065,223 Robinson Drive,4340 Kayla Roads,Puerto Rico,30997.0,empty,West Anthony,Due on Receipt,34888.0,###INVALID###,###INVALID###,,Credit Card
CUST00066,Laptop,10.0,2024/12/17,502.35,ACCT000066,94306 Carpenter Cape,45411 Richard Corners Apt. 165,Cameroon,14909.0,NJ,,Net 60,31897.0,,INR,WIWW31779148908543,Bank Transfer
CUST00067,,,24/06/2022,724.39,ACCT000067,,540 Carol Burgs,,74805.0,,South Angelastad,Net 60,,Jh9535387,GBP,,###INVALID###
CUST00068,Laptop,4.0,,433.75,empty,36964 Shawn Plains,,,###INVALID###,TX,Harrisburgh,Due on Receipt,32601.0,Jd1910469,INR,SQDU80187743764497,
CUST00069,Printer,,29 September 2023,1204.9,ACCT000069,060 Heidi Green Suite 867,,Lebanon,44554.0,SD,,Net 60,73236.0,NE3535687,GBP,JTHL81661718474215,
CUST00070,Phone,4.0,2024-02-26,,ACCT000070,98955 Gabrielle Fork,,,,SC,New Donnaville,Net 30,40730.0,Du7076910,INR,LBIE82426591028483,Credit Card
CUST00071,###INVALID###,6.0,,1080.61,###INVALID###,9031 Ronnie Isle,83545 Adam Run Suite 841,Saint Lucia,,RI,East Anthony,Due on Receipt,74667.0,XK5191420,,,Bank Transfer
CUST00072,Laptop,4.0,05 February 2021,139.62,ACCT000072,11872 Allen Extension Suite 320,404 Trujillo Drive,Eritrea,88744.0,WA,East Elizabeth,Net 60,,Gw7219509,GBP,KLFT27100223266736,Credit Card
CUST00073,Printer,4.0,,,ACCT000073,092 John Way,4897 Michael Freeway Apt. 818,,27958.0,,Elizabethstad,Due on Receipt,,rd4600213,EUR,ITOJ87662888090267,
CUST00074,Laptop,,07 February 2024,1029.85,ACCT000074,438 Jordan Grove Suite 652,865 David Bridge,Australia,63656.0,TN,New Lisa,Net 30,,,EUR,SHPV48898294281406,###INVALID###
CUST00075,Tablet,6.0,2020/08/14,179.41,ACCT000075,550 Rebecca Pike,534 Sarah Way Apt. 517,Guam,51110.0,,Edwardberg,Due on Receipt,65407.0,iA7308203,EUR,JDFN06838540713898,
CUST00076,Printer,6.0,14-09-2020,994.4,ACCT000076,,2858 Chapman Rapids,Iraq,65508.0,AZ,,,,,,AUMO20304845181395,###INVALID###
CUST00077,,1.0,2025-01-20,990.16,,4817 Huffman Alley Apt. 960,5470 Valerie Square Apt. 580,,77928.0,MS,West Amandamouth,Net 30,,vp0185734,USD,,Bank Transfer
CUST00078,Printer,,10 December 2021,1458.24,ACCT000078,701 Kristen Tunnel,4283 Joanna Rest Suite 088,Ghana,60652.0,ID,North Rachelbury,Due on Receipt,93628.0,,EUR,LXSS46827415062970,PayPal
CUST00079,Phone,2.0,12/07/2022,,ACCT000079,5489 Knight Mountain,264 Gardner Square Apt. 396,Switzerland,1261.0,,empty,Net 30,,,empty,###INVALID###,Credit Card
CUST00080,Monitor,8.0,,470.89,ACCT000080,770 Tamara Roads Apt. 679,6118 Tapia Springs Suite 846,Kyrgyz Republic,22879.0,NY,,Due on Receipt,91060.0,SY9742914,,HJZH40530681800696,Credit Card
CUST00081,Mouse,2.0,25 June 2024,593.75,,9637 Sonia Streets Apt. 448,211 Joseph Ways,Finland,53470.0,OH,,Net 30,,qk8095700,,YJBZ73856315741638,Bank Transfer
CUST00082,Mouse,5.0,01/08/2022,281.99,,3346 Baker Branch Apt. 409,04605 Thomas Islands Suite 475,,,,Gutierrezmouth,Due on Receipt,,,INR,EPSP02587373396004,PayPal
CUST00083,Monitor,,2020 July 12,760.6,ACCT000083,,63394 Joseph Station,Christmas Island,30137.0,WY,Lake Jennifertown,###INVALID###,62093.0,###INVALID###,INR,XFMB72375866774488,
CUST00084,Monitor,empty,"May 10, 2023",1261.52,ACCT000084,7514 Porter Crest Apt. 545,527 Gregory Passage Suite 517,Fiji,44235.0,MI,,Net 30,,Sh0950651,GBP,OINJ39756212901075,Credit Card
CUST00085,Tablet,6.0,"September 12, 2021",214.76,ACCT000085,225 Mason Greens Apt. 022,41428 Bridges Land,N-A,82732.0,,Jermaineport,,39324.0,,USD,AUYA79468807417617,Bank Transfer
CUST00086,Mouse,7.0,14-01-2021,,,442 Nelson Stream,4127 Donna Plain Suite 566,Morocco,,NJ,Pamelashire,Net 60,53179.0,iJ8505725,GBP,EYHI00442221344066,
CUST00087,Laptop,1.0,08-11-2020,,,5181 Jasmine Spring Suite 749,###INVALID###,,6798.0,MT,,Net 60,52037.0,WA7291687,INR,HSVZ02708424187835,PayPal
CUST00088,Tablet,empty,12 March 2021,1349.22,ACCT000088,579 Robertson Forks Suite 585,,Gibraltar,41617.0,,Port Taylorchester,Net 30,68669.0,zX4445802,GBP,,Credit Card
CUST00089,Mouse,4.0,26/06/2020,###INVALID###,ACCT000089,75259 Lisa Key Apt. 788,6763 Kevin Garden,Myanmar,52591.0,DC,Jasmineland,Net 30,22988.0,,EUR,WCQA35096572300736,Credit Card
CUST00090,Keyboard,2.0,29 March 2021,,,178 Teresa Wall,,N-A,4532.0,ID,###INVALID###,Net 30,41036.0,,USD,HDGC00812237585540,Bank Transfer
CUST00091,,3.0,,678.33,ACCT000091,N-A,4760 Jacob Motorway,Chad,41427.0,SD,,Net 30,87308.0,UQ8693698,USD,,Bank Transfer
CUST00092,Printer,10.0,###INVALID###,293.0,ACCT000092,562 Nelson Parkways Suite 269,,Azerbaijan,10677.0,,empty,Net 30,40202.0,###INVALID###,,LHFS04179890508121,###INVALID###
CUST00093,###INVALID###,8.0,04 September 2023,1335.28,ACCT000093,5887 Tucker Common Suite 694,###INVALID###,,59224.0,IN,,###INVALID###,93392.0,TP8481637,empty,,Credit Card
CUST00094,Monitor,,12/01/2023,88.29,,351 Mark Ramp,635 Christopher Fords Suite 430,Panama,27850.0,OH,Mercadoland,Net 60,54351.0,oa6573433,EUR,XKUQ38691971746163,
CUST00095,Tablet,,2024/10/14,,empty,4152 Donna Avenue Suite 380,,,58310.0,PA,,Net 30,26969.0,ij1051937,INR,,
CUST00096,,,30 September 2023,,,7914 Alexander Locks Apt. 357,254 Gibson Crossroad Apt. 129,,11948.0,empty,,,,,,,
CUST00097,###INVALID###,1.0,,1361.32,ACCT000097,02773 Wood Summit Apt. 333,999 Tara Village Apt. 093,Spain,,MD,New Sandra,Net 30,,SY9911090,GBP,VDDY62211091244343,PayPal
CUST00098,Tablet,6.0,,,,2917 Jennifer Square Suite 087,3179 Bailey Landing Suite 636,Switzerland,27050.0,KS,,,61190.0,Nf6252750,INR,###INVALID###,
CUST00099,,,2022 August 28,1211.97,ACCT000099,070 Johnson Rapid Suite 570,,San Marino,,AL,###INVALID###,Due on Receipt,15686.0,,,NRXG91153499838450,
CUST00100,Tablet,,2021-04-12,867.12,,,2052 Graham Alley,,21092.0,,,N-A,92997.0,,,XPSW70412371065066,
CUST00101,Keyboard,###INVALID###,18/07/2020,198.4,ACCT000101,,35150 Cory Bypass Apt. 017,###INVALID###,,empty,empty,Net 30,,,,VQJU34370300366085,PayPal
CUST00102,,8.0,28 May 2024,1068.3,ACCT000102,07354 Jennings Crest,893 Douglas Unions,Malaysia,,MT,Stevenborough,Net 30,28722.0,HW0075974,GBP,,
CUST00103,Tablet,7.0,,715.49,ACCT000103,,,Albania,40099.0,IL,,Net 60,49738.0,LQ0228005,EUR,###INVALID###,
CUST00104,Keyboard,7.0,2025-01-16,,###INVALID###,,71104 Paul Meadows Apt. 587,Lithuania,27499.0,IA,Warnerville,,41451.0,,USD,EABL28453634905485,
CUST00105,Laptop,1.0,2022/11/05,,,6962 Flowers Streets,8309 Michael Ferry,,,MA,Lake Michael,Net 30,,gw6483182,EUR,ZISZ64776485101399,
CUST00106,,4.0,2024/12/02,245.73,,835 Jason Branch Apt. 320,723 Jacob Inlet,Bolivia,86037.0,###INVALID###,,,93422.0,,GBP,UXDP13610476443623,Bank Transfer
CUST00107,,7.0,"September 13, 2022",411.23,,44911 Robles Pass Apt. 898,83400 Cordova Locks,Isle of Man,,TX,,Net 30,75555.0,tD6333990,,DBUT52790271953640,Credit Card
CUST00108,Laptop,7.0,"May 09, 2025",501.32,ACCT000108,,,Singapore,4985.0,VA,North Amanda,Net 60,,OZ1858561,USD,JQAS37205779000574,Bank Transfer
CUST00109,,,07/05/2022,1145.4,ACCT000109,039 West Corner,,Northern Mariana Islands,89526.0,,North Stuartville,,12832.0,,USD,,PayPal
CUST00110,Keyboard,###INVALID###,2020/06/22,905.79,ACCT000110,05311 Garrett Valleys Apt. 355,,Morocco,73120.0,,,Net 60,37092.0,uj6339765,EUR,WLAR97908152223379,
CUST00111,Tablet,,"April 12, 2023",1316.77,empty,###INVALID###,09176 Robinson Expressway,Guinea-Bissau,71750.0,MO,Sarahburgh,Net 60,,Hj1940970,USD,NMSQ37588913546531,Bank Transfer
CUST00112,,8.0,,###INVALID###,ACCT000112,71760 Lopez Trail,,Estonia,78573.0,AK,,,,bD9615188,INR,CRXL28499961374514,Credit Card
CUST00113,Mouse,3.0,17 August 2021,,,,77857 Mora Island,Chad,,WA,Thompsonberg,###INVALID###,21730.0,,,HLCH80565419405622,
CUST00114,,7.0,05 October 2022,398.02,ACCT000114,02767 Gross Place,,,,###INVALID###,,,,Jk4926051,GBP,UIAJ98540882570423,Credit Card
CUST00115,Keyboard,6.0,2025 March 26,854.94,ACCT000115,,0920 Donald Shores,Mongolia,14423.0,,,Net 60,,EI9696068,GBP,FXCI05391685051012,Bank Transfer
CUST00116,Mouse,,2024/08/12,296.75,,,4766 Amanda Forge Apt. 827,South Africa,,###INVALID###,West Martha,Net 30,,xC5801169,EUR,ZLST40883408575046,
CUST00117,Keyboard,,,1018.04,ACCT000117,N-A,7972 Johnson Estates Suite 713,Paraguay,,NV,North Lindseyland,Net 60,,vX9725067,INR,,Credit Card
CUST00118,Phone,1.0,###INVALID###,,ACCT000118,25184 Ann Run Suite 687,690 Eric Mission,,40038.0,###INVALID###,North Kimberlyview,,87007.0,sE6523747,GBP,,Credit Card
CUST00119,Phone,10.0,03/10/2023,644.42,,,2695 Michele Street,###INVALID###,9485.0,MS,,Net 30,86900.0,xR8512299,empty,VATK95142375381494,
CUST00120,Monitor,5.0,###INVALID###,434.08,ACCT000120,12368 Anthony Oval,,French Guiana,24467.0,,,,,###INVALID###,,CLZY34588958955769,PayPal
CUST00121,Keyboard,6.0,,391.14,empty,403 Mary Brook,0288 Navarro Springs,Oman,93081.0,GA,Ibarraville,Due on Receipt,93769.0,,GBP,,Bank Transfer
CUST00122,,6.0,,1153.53,,2851 Mary Stravenue,297 Justin Turnpike,###INVALID###,915.0,CO,Burnsland,Net 60,10592.0,LS2705859,GBP,,
CUST00123,,,"June 28, 2024",1217.26,ACCT000123,1940 Rebecca Ferry,N-A,Cape Verde,,NM,Lisamouth,Due on Receipt,17297.0,lc6808697,GBP,FWQJ31147144086905,Credit Card
CUST00124,,6.0,,,ACCT000124,07936 Arias Road Apt. 769,875 Robles Branch Suite 978,,63118.0,OR,,Net 60,48583.0,Xq8535473,,ZDFT63275007035358,
CUST00125,Keyboard,9.0,18 March 2021,288.08,ACCT000125,,21968 James Lake Apt. 155,Armenia,9124.0,OK,Burnettchester,,94588.0,JX3132820,GBP,,
CUST00126,,10.0,28 June 2020,1470.49,ACCT000126,,636 Fuller Knolls,Australia,82279.0,ND,,,25912.0,,EUR,HONI80859591612673,PayPal
CUST00127,Tablet,1.0,07/07/2023,825.15,ACCT000127,27975 Amy Circle Suite 166,###INVALID###,,,KY,West Victoria,Net 30,,Us3055061,,OHGK23046722859798,Credit Card
CUST00128,Tablet,2.0,"April 27, 2023",1080.1,ACCT000128,68964 Anthony Plains Apt. 899,051 Garcia View,Sierra Leone,62416.0,,,,22661.0,pi1043362,,CUSR15377184837175,
CUST00129,Printer,7.0,###INVALID###,587.76,ACCT000129,523 Sarah Courts,8354 Kelly Throughway,,88496.0,ME,North Cynthiashire,Due on Receipt,###INVALID###,QU6926641,USD,,Bank Transfer
CUST00130,Tablet,2.0,28 July 2022,,ACCT000130,,,Syrian Arab Republic,,SD,,Due on Receipt,40828.0,,,,Bank Transfer
CUST00131,Phone,9.0,20-06-2024,###INVALID###,,154 Williams Knoll Suite 156,3651 David Shore,Northern Mariana Islands,,NH,Davisport,Net 60,88723.0,JG5117984,,,Bank Transfer
CUST00132,Keyboard,9.0,04/02/2022,336.14,###INVALID###,76782 Pacheco Fork Suite 462,278 Kimberly Inlet Apt. 909,Germany,53800.0,###INVALID###,Mooreside,Due on Receipt,,hw2138744,INR,,Bank Transfer
CUST00133,Keyboard,,2023-08-06,,ACCT000133,77193 Gallagher Crossroad,2116 Fowler Views Apt. 361,N-A,###INVALID###,MA,,,80076.0,,GBP,,Credit Card
CUST00134,Printer,,###INVALID###,778.3,ACCT000134,382 Jonathan Pass Suite 788,305 Peggy Lock,Dominica,33581.0,,Romeroburgh,Net 30,97100.0,###INVALID###,GBP,GYFW33420588289895,Bank Transfer
CUST00135,Tablet,5.0,,1099.88,,7646 Richardson Knolls,,,1511.0,,Leetown,Due on Receipt,99997.0,Zn9525561,,JPCN01939906614703,
CUST00136,Laptop,2.0,08/07/2021,503.55,,626 Black Throughway Suite 494,,Ukraine,15044.0,,,Net 30,21937.0,,INR,HQTD68722651216128,Credit Card
CUST00137,Mouse,8.0,2022-09-26,845.82,ACCT000137,N-A,,Thailand,82594.0,OK,,Net 30,81388.0,cq9736938,GBP,,Bank Transfer
CUST00138,Phone,,,1468.61,ACCT000138,91288 Stafford Cliffs,,Bahamas,91244.0,,Gateschester,Net 60,24360.0,qs1183892,USD,,Bank Transfer
CUST00139,,10.0,2024 June 01,803.43,ACCT000139,353 Christine Lock,8067 Brown Ridge Apt. 030,Tunisia,63430.0,LA,,Net 30,###INVALID###,,GBP,ADOM06713972761564,Bank Transfer
CUST00140,Laptop,10.0,2020/09/03,,ACCT000140,768 Fischer Knoll,8409 Rose Circle Apt. 081,France,,CO,,Net 60,48218.0,Wq5668963,,,N-A
CUST00141,Mouse,,,631.82,,301 Anderson Isle Apt. 815,###INVALID###,Bulgaria,,IL,,Net 60,77415.0,JD2834842,,LMZX74237873584088,
CUST00142,Laptop,1.0,27-04-2025,61.73,ACCT000142,,,Uzbekistan,50115.0,LA,,Net 60,35165.0,,GBP,,
CUST00143,Phone,,27 February 2025,680.52,,5607 Brown Cape Suite 664,7605 Cody Union,Cote d'Ivoire,51871.0,,Carlatown,,16277.0,,GBP,EXDW46457512876215,Bank Transfer
CUST00144,,8.0,,,ACCT000144,,,,67137.0,,Youngmouth,Net 30,25435.0,,GBP,SLPL03202369358790,Credit Card
CUST00145,Keyboard,###INVALID###,N-A,,,3463 Luke Tunnel Suite 329,9665 Ryan Shoal,,67986.0,,Katherineside,Net 30,19374.0,###INVALID###,GBP,KQEI47974203493357,###INVALID###
CUST00146,Mouse,6.0,25 February 2022,691.26,,,,,36473.0,CT,Armstrongshire,,39548.0,,EUR,ASYG61195894197085,
CUST00147,Mouse,,03 January 2021,696.14,ACCT000147,8186 Anthony Port,6332 Cook Heights Suite 787,Nigeria,72600.0,NC,empty,,95382.0,yU2349684,INR,AGTB63933267756921,Credit Card
CUST00148,Printer,10.0,07/08/2020,132.34,ACCT000148,030 Ashley Brook,,,41858.0,empty,North Alexisfort,Net 60,27376.0,,,AKVP66053660714601,Bank Transfer
CUST00149,Mouse,,26 September 2024,623.08,ACCT000149,829 Donald Streets,###INVALID###,Somalia,5310.0,NC,Port Elizabethmouth,Net 60,,OS1818860,empty,RYUD21021892636475,
CUST00150,Phone,2.0,,1117.14,ACCT000150,6143 Christopher Grove,63065 Miller Circle,Namibia,52581.0,MT,Franklinmouth,Net 30,,uk7761362,INR,DJCN79032821604164,Credit Card
CUST00151,Keyboard,9.0,,,,374 Amber Lake,626 Cameron Island Apt. 730,Russian Federation,,,East Christianport,Net 60,97510.0,VP2772483,,FOVL42536861993932,Bank Transfer
